18,436031139835396
15,698705304683617
8,710530581878484
9,070739951003079
14,516272872251077
15,978313328856803
16,22356051703881
13,000461641766053
14,4436167533994
14,919684824576084
16,53752937720341
23,1327115158636
21,08679914386438
17,94343839180797
14,11758225616934
19,550528789659296
12,925707151250727
14,143811901964142
14,788274299143856
20,007973812321588
18,304358317945184
21,31788232331704
20,806404230317234
17,127958704045607
17,283500503609222
16,404807369481254
9,668509736444543
18,07589810307214
7,819844300822539
4,649204717139388
4,360678613396099
1,9480757931844528
0,785924461006949
2,9469007050529115
3,5955598455599236
16,358118599966396
17,115630770522163
13,213184069162308
15,55444225281174
9,07073610877969
17,445599714621537
12,132522662414086
7,269808628504253
16,094772956185967
17,625797381232275
7,809877035420496
8,40607688433767
7,740630770522163
16,420020564042304
11,898554221923817
13,871285882155393
16,584480443176023
20,297286805439064
0,06557411448723821
14,736077304012003
13,03298640255157
16,185002937720327
2,2268969279839164
18,97662413966761
24,055208158469057
16,39484010407921
1,2183670471713997
1,3261708913882133
14,015286637569286
16,454905992949456
8,540897263723243
10,573694812825297
17,71576506630865
8,7106030720162
10,511530552291402
23,83932408539846
12,492655699177343
9,430869145543179
22,95434992445876
23,684845559845538
15,374506882658986
14,233779587040518
12,673115662246065
14,473780846063516
5,252224273963482
10,151368058402953
25,0
4,1629070841026765
7,557810139331805
8,228764478764539
16,995236696323683
15,338309971462142
17,49963278495882
22,938874433439725
16,171888114822927
6,829412875608445
18,02448799731401
15,842706060097276
17,34645165351684
17,50986234681885
8,571848245761315
12,933051452073151
9,591132281349598
20,837617508813292
13,633382994796044
15,524278160147857
2,1206668625147818
19,407052627161374
13,177249454423448
15,91471796450083
16,83864571092836
15,07417743830799
16,995346071900705
17,3555554410253
17,3555554410253
16,274927333625424
16,635136702776112
16,995346071900705
16,274927333625424
17,3555554410253
12,65003357394662
3,9719552627161723
3,8352988081249366
1,1635470874601608
13,386299731408375
8,465880476749932
2,6331941413462956
9,393098455598421
18,406129343629267
24,351078563035
9,205294191707276
18,0790456605675
17,0015318113144
17,69478134967262
15,673000251804552
15,2507029545074
7,79046709753238
10,326349252979643
0,7105611045829221
3,3332633876112037
17,625272788316302
10,871786796678235
10,20779125398683
16,815301326170932
14,401911616585563
5,234125818365059
17,454255497733886
5,027698505959286
14,04256546919603
12,911018549605414
19,626332466006332
20,587386687930266
5,607898270941688
11,969636562027814
3,928151754238685
19,251773124055745
3,637002685915776
24,510817105925913
11,026156202786565
10,511530552291402
11,232058922276368
22,604446449555066
11,885701695484402
15,6446722343461
4,735762548262654
12,485573694812905
6,389804012086593
8,350207738794724
16,736087795870322
20,771518801410085
4,548745173745231
1,7946323652844878
24,438685579989976
